[1, 604]
[2, 966]
[3, 66]
[5, 214]
[6, 658]
[7, 482]
[7, 121]
[8, 33]
[9, 786]
[9, 257]
[9, 681]
[10, 131]
[14, 433]
[15, 795]
[17, 788]
[19, 780]
[20, 774]
[23, 227]
[24, 737]
[24, 729]
[25, 317]
[27, 721]
[28, 529]
[29, 762]
[32, 332]
[33, 202]
[34, 347]
[36, 226]
[38, 678]
[41, 329]
[41, 100]
[42, 714]
[43, 428]
[45, 169]
[47, 240]
[48, 409]
[51, 248]
[54, 462]
[54, 517]
[55, 569]
[56, 530]
[57, 628]
[57, 704]
[58, 341]
[58, 321]
[61, 917]
[62, 125]
[62, 936]
[62, 961]
[63, 795]
[64, 808]
[65, 579]
[65, 676]
[66, 296]
[66, 257]
[68, 187]
[68, 913]
[68, 240]
[71, 481]
[71, 235]
[72, 208]
[73, 535]
[73, 846]
[75, 161]
[77, 710]
[77, 769]
[80, 381]
[82, 621]
[83, 304]
[88, 620]
[94, 579]
[95, 237]
[98, 877]
[106, 666]
[106, 473]
[108, 751]
[111, 833]
[111, 843]
[114, 823]
[114, 903]
[117, 397]
[120, 756]
[124, 332]
[127, 627]
[128, 465]
[129, 403]
[131, 588]
[131, 887]
[135, 486]
[142, 836]
[142, 828]
[143, 907]
[145, 267]
[148, 310]
[148, 468]
[151, 443]
[152, 490]
[153, 651]
[153, 607]
[155, 752]
[164, 624]
[165, 854]
[167, 705]
[167, 943]
[172, 744]
[180, 274]
[181, 981]
[185, 974]
[188, 335]
[190, 449]
[190, 853]
[191, 402]
[192, 347]
[194, 529]
[194, 429]
[199, 835]
[200, 818]
[201, 905]
[202, 973]
[202, 715]
[204, 627]
[205, 239]
[206, 417]
[207, 659]
[208, 292]
[211, 843]
[215, 593]
[220, 608]
[221, 482]
[222, 957]
[224, 724]
[224, 438]
[226, 636]
[227, 474]
[227, 711]
[227, 382]
[227, 417]
[228, 864]
[228, 406]
[230, 272]
[233, 628]
[234, 369]
[235, 544]
[235, 889]
[236, 962]
[238, 697]
[238, 336]
[240, 567]
[241, 976]
[243, 338]
[244, 652]
[244, 468]
[246, 693]
[246, 979]
[249, 832]
[249, 663]
[253, 819]
[257, 358]
[262, 769]
[264, 859]
[265, 272]
[267, 797]
[271, 740]
[276, 520]
[277, 383]
[278, 454]
[280, 395]
[285, 811]
[285, 326]
[289, 857]
[289, 882]
[298, 543]
[300, 438]
[301, 622]
[302, 334]
[304, 689]
[305, 661]
[308, 770]
[308, 383]
[309, 930]
[313, 744]
[318, 327]
[319, 477]
[321, 580]
[322, 426]
[325, 440]
[326, 802]
[327, 777]
[333, 667]
[336, 533]
[339, 533]
[340, 795]
[343, 347]
[344, 808]
[346, 601]
[348, 852]
[356, 622]
[357, 796]
[365, 988]
[367, 862]
[368, 647]
[369, 746]
[369, 831]
[371, 505]
[374, 992]
[375, 598]
[375, 834]
[377, 524]
[379, 992]
[394, 724]
[395, 720]
[395, 540]
[400, 462]
[401, 509]
[401, 600]
[403, 407]
[404, 513]
[405, 629]
[408, 703]
[411, 793]
[412, 773]
[413, 607]
[414, 697]
[415, 929]
[420, 555]
[423, 977]
[423, 578]
[428, 522]
[429, 772]
[438, 789]
[439, 459]
[449, 945]
[453, 576]
[456, 596]
[458, 644]
[461, 531]
[464, 646]
[480, 763]
[481, 759]
[483, 573]
[484, 556]
[492, 634]
[493, 526]
[494, 955]
[494, 871]
[495, 551]
[495, 587]
[502, 948]
[506, 649]
[507, 755]
[508, 831]
[510, 945]
[511, 701]
[512, 815]
[520, 840]
[523, 669]
[524, 718]
[526, 673]
[538, 715]
[543, 601]
[546, 607]
[549, 557]
[551, 866]
[551, 907]
[558, 906]
[560, 880]
[561, 958]
[562, 926]
[568, 693]
[571, 977]
[571, 684]
[578, 642]
[578, 641]
[578, 804]
[578, 918]
[582, 905]
[588, 621]
[591, 811]
[594, 720]
[607, 641]
[608, 843]
[608, 697]
[611, 692]
[614, 963]
[615, 726]
[624, 991]
[624, 764]
[625, 660]
[634, 789]
[648, 738]
[658, 962]
[659, 844]
[661, 969]
[661, 703]
[664, 804]
[668, 926]
[670, 960]
[672, 814]
[674, 728]
[676, 901]
[689, 763]
[697, 944]
[702, 909]
[707, 712]
[713, 891]
[723, 887]
[730, 964]
[736, 945]
[739, 777]
[747, 876]
[747, 810]
[749, 821]
[751, 885]
[756, 772]
[763, 804]
[765, 852]
[770, 893]
[773, 848]
[777, 984]
[783, 924]
[784, 996]
[785, 885]
[787, 916]
[800, 929]
[801, 910]
[815, 980]
[830, 890]
[830, 995]
[835, 955]
[839, 958]
[849, 932]
[853, 961]
[862, 879]
[878, 966]
[895, 904]
[905, 993]
[920, 997]
[955, 994]
[971, 978]
[973, 998]
